Plant,TÊN CỬA HÀNG,Chi nhánh,TỈNH/TP (TRÊN SAP),Tier,Latitude,Longitude,Total View GMB,Tin nhắn FMB x ZMB,Chỉ đường GMB,Điểm 5* GMB
1101,"TTKH 304 Trường Chinh, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7978242,106.6443889,19395,232,478,4.0
1102,"TTKH 151/3 Nguyễn Ảnh Thủ, Hóc Môn",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.8590478,106.608132,13938,392,342,5.0
1103,"TTKH 23-23A Nguyễn Ảnh Thủ, Q12",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8787608,106.637862,13414,409,558,4.88
1104,"TTKH 230B Lê Văn Sỹ, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7951469,106.6675751,21075,302,651,2.9
1105,"TTKH 508-510 Lý Thường Kiệt, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7874071,106.6535,9337,123,333,5.0
1106,"TTKH 298-300 Hoàng Văn Thụ, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7984246,106.6586505,20413,955,372,4.33
1107,PNJ Coop Củ Chi,Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.9589961,106.5045037,2565,53,113,0.0
1108,"TTKH 126A Tỉnh Lộ 8, Củ Chi",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.9713233,106.4918396,4879,592,224,5.0
1109,"TTKH 172-174 Lê Thánh Tôn, Q1",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7731546,106.6973351,35211,425,1469,1.0
1110,"TTKH 71 Ông Ích Khiêm, Q11",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.766161,106.643716,9903,732,277,5.0
1111,"TTKH 142 Âu Cơ, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.771346,106.6504169,24275,589,417,5.0
1112,"TTKH A27/7 Quốc lộ 50, Bình Chánh",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.7238964,106.6559426,11353,306,427,5.0
1113,"TTKH 5 Tân Mỹ, Q7",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7378988,106.718463,20576,696,410,4.98
1114,"TTKH 241-243 Phạm Hùng, Q8",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.738242,106.670471,9749,176,319,5.0
1115,"TTKH 282 Phan Đình Phùng, Đà Lạt",Tây Nguyên,Tây Nguyên,Tier 2,11.9507513,108.4340464,11766,2165,383,3.96
1116,"TTKH 358 Bạch Đằng, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8031547,106.6994309,8525,106,298,5.0
1117,"TTKH 202-208 Tân Hương, Tân Phú",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7900872,106.6225358,12353,414,362,5.0
1118,"TTKH 182B-182C Hòa Bình, Tân Phú",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7708801,106.630635,8472,272,271,0.0
1119,"TTKH 699-701 Lũy Bán Bích, Tân Phú",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7817669,106.6357795,12181,179,342,5.0
1120,"TTKH 127N-127P Đinh Tiên Hoàng, BT",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.798043,106.694719,14641,109,368,5.0
1121,"TTKH 229-231 Xô Viết Nghệ Tĩnh, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8003889,106.710993,27913,99,518,4.5
1122,"TTKH 317A Lê Quang Định, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8112892,106.69078,8053,305,297,5.0
1124,PNJ Aeon Bình Tân,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7427497,106.6119309,16195,141,120,4.75
1127,PNJ Vạn Hạnh Mall,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7712347,106.6698295,8415,382,108,5.0
1128,PNJ CoopExtra Sư Vạn Hạnh,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7709514,106.6698336,11743,0,146,3.0
1130,PNJ Aeon Tân Phú,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8015819,106.6174433,10854,201,168,3.25
1131,PNJ Tasco Mall Hà Nội,Miền Bắc,Hà Nội,Tier 1,21.051022,105.8927767,11663,421,207,5.0
1133,"TTKH 403 Thống Nhất, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8519786,106.6654599,22361,141,321,4.64
1134,"PNJ NEXT 362 Nguyễn Văn Nghi, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8245847,106.6865292,23598,676,802,4.68
1135,"TTKH 632-632A Quang Trung, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8361706,106.6599802,13433,480,363,5.0
